datetime,DK1,SYS,SE1,SE2,SE3,SE4,FI,DK2,Oslo,Kr.sand,Bergen,Molde,Tr.heim,TromsÃ¸
2017-05-31,2897.092741935484,2791.7419354838707,2949.983870967742,2949.983870967742,2991.233870967742,3018.2997311827958,3208.7473118279568,3033.2244623655915,2736.434139784946,2690.907258064516,2693.3172043010754,2854.0134408602153,2854.0134408602153,2529.8225806451615
2017-06-30,2960.9597222222224,2651.9236111111113,2883.0694444444443,2883.0694444444443,2915.8611111111113,3067.8,3154.3902777777776,3144.447222222222,2553.8972222222224,2550.161111111111,2535.4236111111113,2608.0930555555556,2608.0930555555556,2419.0375
2017-07-31,3040.4959677419356,2756.40188172043,3012.40188172043,3012.40188172043,3050.9879032258063,3086.5806451612902,3361.396505376344,3200.5456989247314,2757.478494623656,2742.983870967742,2741.4758064516127,2728.3669354838707,2728.3669354838707,2102.135752688172
2017-08-31,3397.9435483870966,2930.8763440860216,3461.7029569892475,3461.7029569892475,3494.717741935484,3550.5685483870966,3676.1975806451615,3613.3400537634407,2830.3387096774195,2812.2352150537636,2807.6021505376343,2956.1330645161293,2956.1330645161293,2353.3884408602153
2017-09-30,3370.0930555555556,3118.4333333333334,3424.0833333333335,3424.0833333333335,3463.8958333333335,3524.1722222222224,3612.4583333333335,3661.070833333333,2984.447222222222,2984.034722222222,2976.6472222222224,3223.820833333333,3223.820833333333,2828.9666666666667
2017-10-31,2919.676510067114,2905.5409395973156,2989.881879194631,2989.881879194631,3074.358389261745,3233.0013422818793,3332.9825503355705,3273.331543624161,2848.0107382550336,2845.577181208054,2844.661744966443,2894.3060402684564,2894.3060402684564,2779.4295302013425
2017-11-30,3197.670833333333,3240.108333333333,3286.777777777778,3286.777777777778,3360.295833333333,3480.3180555555555,3484.623611111111,3338.259722222222,3135.7444444444445,3135.6111111111113,3133.8097222222223,3223.0833333333335,3223.0833333333335,3058.447222222222
2017-12-31,2670.5846774193546,2957.9798387096776,2900.7352150537636,2900.7352150537636,2979.4811827956987,3109.8978494623657,3106.5725806451615,2854.5134408602153,2978.6922043010754,2974.369623655914,2977.1424731182797,2895.3024193548385,2895.3024193548385,2767.6330645161293
2018-01-31,3484.3413978494623,3736.8077956989246,3764.1263440860216,3764.1263440860216,3775.5497311827958,3879.939516129032,4291.049731182796,3747.305107526882,3775.4650537634407,3583.087365591398,3586.2997311827958,3802.2674731182797,3802.2674731182797,3695.2755376344085
2018-02-28,4139.1875,4304.372023809524,4316.1547619047615,4316.1547619047615,4345.927083333333,4385.769345238095,4684.802083333333,4355.364583333333,4162.674107142857,4132.769345238095,4136.800595238095,4316.883928571428,4316.883928571428,4269.099702380952
2018-03-31,3899.3606998654104,4282.102288021534,4337.577388963661,4337.577388963661,4351.539703903096,4400.36069986541,4471.364737550471,4210.450874831763,4326.555854643338,4226.454912516823,4278.148048452221,4340.410497981157,4340.410497981157,4291.456258411844
2018-04-30,3982.8069444444445,4042.902777777778,4060.7375,4060.7375,4063.876388888889,4100.909722222223,4228.926388888889,4056.2819444444444,4004.8888888888887,3992.2930555555554,3997.0694444444443,4060.8722222222223,4060.8722222222223,4054.9041666666667
2018-05-31,4198.0255376344085,4013.603494623656,4067.2244623655915,4067.2244623655915,4084.305107526882,4439.604838709677,4580.569892473119,4509.6411290322585,3948.5026881720432,3929.4005376344085,3929.782258064516,4020.114247311828,4020.114247311828,3947.6599462365593
2018-06-30,4549.770833333333,4489.2555555555555,4424.573611111111,4424.573611111111,4444.034722222223,4645.465277777777,4614.073611111111,4733.461111111111,4483.708333333333,4469.029166666666,4464.070833333333,4547.233333333334,4547.233333333334,4490.169444444445
2018-07-31,5021.201612903225,4976.1411290322585,4990.799731182796,4990.799731182796,5022.314516129032,5144.193548387097,5216.89247311828,5134.032258064516,4994.487903225807,4949.416666666667,4949.780913978495,4994.708333333333,4994.708333333333,4884.934139784947
2018-08-31,5083.147849462365,4893.0362903225805,5039.920698924731,5039.920698924731,5118.966397849463,5258.0053763440865,5231.591397849463,5249.55376344086,4813.491935483871,4788.716397849463,4788.387096774193,4834.043010752688,4834.043010752688,4770.971774193548
2018-09-30,4260.048611111111,4198.113888888889,4272.016666666666,4272.016666666666,4274.365277777778,4462.569444444444,4461.734722222222,4559.280555555555,4090.445833333333,4084.634722222222,4071.2916666666665,4238.248611111111,4238.248611111111,4301.454166666666
2018-10-31,4478.1181208053695,4135.244295302014,4169.4,4169.4,4169.4,4640.241610738255,4393.747651006712,4581.420134228188,4061.9422818791945,4045.1718120805367,3848.0577181208055,4135.2536912751675,4135.2536912751675,4263.269798657718
2018-11-30,4982.438888888889,4730.354166666667,4702.158333333334,4702.158333333334,4845.4430555555555,5177.251388888889,4917.913888888889,5202.040277777778,4713.329166666666,4701.820833333333,4624.701388888889,4666.4013888888885,4666.4013888888885,4612.008333333333
2018-12-31,4761.254032258064,4971.024193548387,4910.912634408603,4910.912634408603,4932.875,5068.877688172043,5049.086021505376,5079.268817204301,4984.615591397849,4976.904569892473,4964.8387096774195,4931.705645161291,4931.705645161291,4857.0053763440865
2019-01-31,4732.037634408603,4898.315860215053,4833.831989247312,4833.831989247312,4878.653225806452,4945.655913978495,5137.198924731183,4834.845430107527,5085.888440860215,5061.860215053764,5068.466397849463,4793.010752688172,4793.010752688172,4664.037634408603
2019-02-28,4011.651785714286,4057.778273809524,3923.4181547619046,3923.4181547619046,3966.5372023809523,4051.846726190476,4215.098214285715,4066.1666666666665,4139.089285714285,4138.830357142857,4138.889880952381,4050.721726190476,4050.721726190476,4042.877976190476
2019-03-31,3623.613728129206,3963.6487213997307,3820.728129205922,3820.728129205922,3866.372812920592,3924.728129205922,4087.0255720053838,3797.277254374159,4066.0403768506058,4060.9192462987885,4055.563930013459,3950.4966352624497,3950.4966352624497,3944.3983849259757
2019-04-30,3798.865277777778,4025.3805555555555,3916.6819444444445,3916.6819444444445,3940.758333333333,4029.463888888889,4301.965277777777,3970.1222222222223,4070.5569444444445,4065.975,4068.759722222222,4063.7361111111113,4063.7361111111113,4054.0833333333335
2019-05-31,3815.7755376344085,3839.4193548387098,3686.930107526882,3686.930107526882,3701.5994623655915,3849.712365591398,4417.4946236559135,3877.944892473118,3880.6182795698924,3885.3844086021504,3880.864247311828,3826.189516129032,3826.189516129032,3817.3521505376343
2019-06-30,3643.302777777778,3341.3958333333335,3146.9236111111113,3146.9236111111113,3153.891666666667,3344.1736111111113,3615.0222222222224,3732.3416666666667,3421.7694444444446,3430.6375,3419.711111111111,3220.523611111111,3220.523611111111,3202.323611111111
2019-07-31,4122.442204301075,3895.8951612903224,3850.1881720430106,3850.3131720430106,3877.8830645161293,4145.580645161291,4927.146505376344,4232.810483870968,3867.244623655914,3863.8293010752686,3867.244623655914,3828.9193548387098,3828.9193548387098,3810.907258064516
